City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,46.87,99,100,19.17,TF,1743789577
1,st. john's,47.5649,-52.7093,30.27,92,100,16.11,CA,1743789578
2,hithadhoo,-0.6,73.0833,82.72,72,91,3.51,MV,1743789579
3,edinburgh of the seven seas,-37.0676,-12.3116,66.29,92,32,11.77,SH,1743789580
4,weno,7.4515,151.8468,77.88,91,100,11.41,FM,1743789582
5,lodja,-3.4833,23.4333,72.37,98,98,2.86,CD,1743789584
6,puerto baquerizo moreno,-0.9,-89.6,85.19,74,40,8.05,EC,1743789581
7,sandnessjoen,66.0217,12.6316,33.91,93,40,9.22,NO,1743789586
8,anadyr,64.75,177.4833,16.3,86,75,4.47,RU,1743789587
9,port elizabeth,-33.918,25.5701,70.09,90,75,14.97,ZA,1743789589
10,vitoria da conquista,-14.8661,-40.8394,85.87,32,34,10.16,BR,1743789590
11,blackmans bay,-43.0167,147.3167,44.73,78,100,4.0,AU,1743789591
12,changji,44.0167,87.3167,56.19,26,0,2.24,CN,1743789592
13,new kingman-butler,35.265,-114.0323,55.8,33,3,1.99,US,1743789593
14,luena,-11.7833,19.9167,66.02,94,100,0.67,AO,1743789594
15,waitangi,-43.9535,-176.5597,61.83,98,100,15.01,NZ,1743789595
16,tiksi,71.6872,128.8694,-5.58,98,100,6.67,RU,1743789597
17,kodinsk,58.6881,99.1844,40.73,90,100,10.22,RU,1743789598
18,kattivakkam,13.2167,80.3167,86.09,78,23,3.96,IN,1743789599
19,maitum,6.0392,124.4986,78.42,86,95,5.77,PH,1743789600
20,cidade velha,14.9167,-23.6167,77.47,57,75,18.41,CV,1743789601
21,rio grande,-32.035,-52.0986,65.93,45,31,19.98,BR,1743789589
22,avarua,-21.2078,-159.775,73.45,100,100,4.61,CK,1743789603
23,yellowknife,62.456,-114.3525,32.41,62,75,4.61,CA,1743789600
24,mccook,40.2019,-100.6257,48.25,87,100,13.8,US,1743789606
25,bethel,41.3712,-73.414,66.88,45,100,6.93,US,1743789607
26,aragarcas,-15.8975,-52.2508,93.85,55,20,3.44,BR,1743789511
27,haenam,34.5711,126.5989,48.88,87,100,7.78,KR,1743789610
28,sakata,38.9167,139.855,41.85,71,93,7.96,JP,1743789611
29,kirkland lake,48.1446,-80.0377,37.69,48,95,4.61,CA,1743789496
30,holualoa,19.6228,-155.9522,71.87,73,100,5.48,US,1743789613
31,igarka,67.4667,86.5833,0.77,85,7,10.98,RU,1743789616
32,kailua-kona,19.6406,-155.9956,75.6,75,100,5.66,US,1743789617
33,adamstown,-25.066,-130.1015,74.84,72,92,15.46,PN,1743789618
34,perg,48.25,14.6333,57.15,58,0,4.34,AT,1743789619
35,papatowai,-46.5619,169.4708,51.17,77,86,13.49,NZ,1743789620
36,oroqen zizhiqi,50.5667,123.7167,31.03,98,100,3.42,CN,1743789621
